customer_id,signup_date,last_active_date,subscription_plan,monthly_spend,support_tickets,logins_last_30_days,feature_usage_score,industry,team_size,is_churned
CUST100000,2022-02-13,2024-04-10,Basic,18.01,0,12,0.26,Finance,5,False
CUST100001,2022-09-20,2024-04-27,Enterprise,468.68,2,8,0.23,E-commerce,84,False
CUST100002,2021-06-03,2024-04-30,Pro,52.02,5,13,0.51,SaaS,8,False
CUST100003,2021-12-12,2024-04-07,Pro,54.96,2,7,0.23,Finance,7,False
CUST100004,2022-08-17,2024-04-22,Basic,19.98,2,15,0.24,SaaS,5,False
CUST100005,2021-07-23,2024-04-23,Basic,19.17,1,11,0.25,Healthcare,2,False
CUST100006,2023-09-20,2024-04-23,Basic,22.1,1,9,0.08,SaaS,5,False
CUST100007,2021-11-06,2024-04-26,Enterprise,1666.82,0,11,0.25,E-commerce,396,False
CUST100008,2023-03-03,2024-04-07,Pro,69.43,2,7,0.13,Finance,15,False
CUST100009,2022-04-06,2024-04-27,Pro,50.61,2,9,0.5,Finance,6,False
CUST100010,2023-07-10,2024-04-09,Basic,17.45,0,8,0.19,Finance,3,False
CUST100011,2023-08-01,2024-04-30,Enterprise,566.4,1,9,0.4,E-commerce,174,True
CUST100012,2023-12-24,2024-04-28,Pro,80.9,4,7,0.31,Healthcare,19,False
CUST100013,2022-06-09,2024-04-12,Basic,21.98,0,5,0.35,Real Estate,5,False
CUST100014,2022-10-10,2024-04-17,Basic,21.92,4,10,0.08,SaaS,4,False
CUST100015,2023-06-03,2023-08-04,Basic,25.03,4,9,0.58,Real Estate,5,True
CUST100016,2024-03-03,2024-04-30,Basic,22.11,2,6,0.1,SaaS,2,False
CUST100017,2022-10-31,2024-04-28,Pro,61.39,2,8,0.47,Real Estate,13,False
CUST100018,2023-09-14,2024-04-24,Basic,18.3,2,12,0.23,Finance,5,False
CUST100019,2021-07-10,2024-04-23,Basic,23.04,2,4,0.68,SaaS,4,False
CUST100020,2021-07-16,2024-04-14,Pro,74.18,2,12,0.15,SaaS,12,False
CUST100021,2023-05-25,2024-04-11,Basic,24.85,2,13,0.13,E-commerce,4,False
CUST100022,2022-07-23,2024-04-30,Basic,23.99,0,7,0.3,Finance,5,False
CUST100023,2021-07-14,2024-04-13,Basic,20.34,2,9,0.25,SaaS,2,False
CUST100024,2022-10-12,2024-04-24,Basic,20.7,1,9,0.2,Real Estate,4,False
CUST100025,2022-11-16,2024-04-08,Pro,76.78,1,9,0.38,SaaS,16,False
CUST100026,2023-05-27,2024-04-10,Basic,15.6,3,12,0.51,SaaS,2,False
CUST100027,2021-07-31,2024-04-08,Pro,51.66,3,8,0.31,Education,6,False
CUST100028,2021-06-09,2024-04-13,Pro,61.11,1,8,0.35,Healthcare,14,False
CUST100029,2021-07-11,2024-04-17,Basic,18.14,0,8,0.19,Healthcare,2,False
CUST100030,2023-07-12,2024-03-23,Pro,57.55,2,6,0.58,SaaS,9,True
CUST100031,2023-09-08,2024-04-16,Basic,24.4,3,9,0.17,Real Estate,5,False
CUST100032,2023-05-10,2024-04-12,Basic,21.2,2,6,0.09,Real Estate,3,False
CUST100033,2023-10-27,2024-04-22,Enterprise,1440.55,1,12,0.33,SaaS,402,False
CUST100034,2021-06-03,2024-04-05,Enterprise,1225.7,4,9,0.11,Education,374,False
CUST100035,2022-07-08,2024-04-03,Pro,65.14,1,8,0.44,Real Estate,11,False
CUST100036,2022-01-08,2022-02-13,Basic,18.96,3,5,0.26,E-commerce,3,True
CUST100037,2022-03-29,2024-04-06,Basic,21.47,2,4,0.26,Education,4,False
CUST100038,2023-03-30,2024-04-05,Pro,81.16,3,9,0.25,Finance,14,False
CUST100039,2023-09-25,2024-04-25,Basic,24.03,1,9,0.1,Finance,5,False
CUST100040,2023-07-02,2024-04-08,Basic,24.49,1,8,0.25,Real Estate,5,False
CUST100041,2023-11-22,2024-04-17,Basic,21.09,0,17,0.18,Healthcare,2,False
CUST100042,2021-12-05,2024-04-20,Basic,21.8,1,5,0.04,SaaS,3,False
CUST100043,2023-03-09,2024-04-22,Enterprise,870.54,2,5,0.06,Finance,289,False
CUST100044,2021-08-02,2024-04-26,Basic,14.94,2,4,0.19,Education,4,False
CUST100045,2024-02-11,2024-04-24,Pro,72.22,1,10,0.53,E-commerce,17,False
CUST100046,2021-10-07,2024-04-06,Basic,16.65,4,7,0.27,Education,1,False
CUST100047,2021-10-06,2024-04-20,Pro,53.93,3,4,0.25,Finance,8,False
CUST100048,2023-01-24,2024-04-27,Pro,53.0,0,5,0.31,Education,8,False
CUST100049,2021-06-20,2024-04-28,Basic,15.78,2,8,0.26,SaaS,3,False
CUST100050,2022-08-30,2024-04-18,Enterprise,277.57,0,9,0.25,Finance,45,False
CUST100051,2024-01-29,2024-04-27,Pro,82.5,2,10,0.24,Real Estate,19,False
CUST100052,2023-07-18,2024-04-19,Enterprise,995.26,4,5,0.17,Education,226,False
CUST100053,2021-09-26,2024-04-03,Enterprise,359.74,2,11,0.31,Finance,92,False
CUST100054,2021-05-19,2022-06-05,Pro,60.45,1,5,0.09,E-commerce,7,True
CUST100055,2022-10-24,2024-04-11,Enterprise,1531.02,5,12,0.41,Healthcare,405,False
CUST100056,2023-10-13,2024-04-22,Basic,25.75,2,9,0.35,Real Estate,1,False
CUST100057,2023-05-22,2024-04-05,Basic,13.82,4,15,0.41,SaaS,5,False
CUST100058,2022-03-01,2022-05-14,Basic,17.2,3,10,0.11,Healthcare,1,True
CUST100059,2021-04-08,2024-04-07,Basic,24.62,3,11,0.5,Real Estate,3,False
CUST100060,2023-01-02,2024-04-16,Basic,21.14,2,6,0.47,Finance,1,False
CUST100061,2023-11-07,2024-04-13,Basic,18.57,2,8,0.21,Finance,1,False
CUST100062,2021-07-01,2024-04-27,Pro,62.69,1,12,0.23,E-commerce,12,False
CUST100063,2022-11-06,2024-04-01,Basic,26.14,3,10,0.27,Real Estate,1,False
CUST100064,2024-02-24,2024-04-18,Basic,17.35,2,9,0.08,E-commerce,5,False
CUST100065,2021-10-28,2024-04-28,Pro,93.06,0,9,0.14,Real Estate,18,False
CUST100066,2022-05-26,2024-04-13,Basic,20.06,3,10,0.36,SaaS,2,False
CUST100067,2023-01-02,2024-04-21,Pro,54.52,1,13,0.19,Healthcare,5,False
CUST100068,2023-02-13,2024-04-04,Basic,18.43,1,8,0.26,Real Estate,4,False
CUST100069,2021-10-05,2024-04-10,Enterprise,1512.04,3,8,0.08,Healthcare,450,False
CUST100070,2022-02-16,2024-04-11,Pro,65.03,1,10,0.15,E-commerce,15,False
CUST100071,2023-01-01,2024-04-02,Basic,16.7,0,11,0.32,E-commerce,4,False
CUST100072,2021-10-14,2024-04-03,Basic,20.92,5,12,0.43,Real Estate,2,False
CUST100073,2023-03-11,2024-04-19,Pro,82.27,0,8,0.29,Healthcare,15,False
CUST100074,2021-09-20,2024-04-12,Pro,55.51,1,10,0.43,Healthcare,6,False
CUST100075,2023-04-10,2023-11-22,Pro,58.5,0,11,0.28,E-commerce,11,True
CUST100076,2021-11-30,2024-04-08,Pro,56.56,1,7,0.35,Education,7,False
CUST100077,2022-03-02,2024-04-28,Basic,21.99,3,9,0.38,Healthcare,4,False
CUST100078,2023-01-04,2024-04-29,Basic,17.47,1,6,0.14,SaaS,4,False
CUST100079,2024-03-01,2024-04-09,Basic,19.8,6,9,0.13,Healthcare,5,False
CUST100080,2021-04-28,2024-04-23,Enterprise,2231.8,1,7,0.48,Finance,442,False
CUST100081,2021-08-29,2024-04-06,Pro,57.73,0,13,0.37,E-commerce,11,False
CUST100082,2023-03-01,2024-04-21,Basic,17.09,0,10,0.28,SaaS,2,False
CUST100083,2021-06-03,2021-09-22,Basic,22.91,4,11,0.35,Finance,4,True
CUST100084,2021-11-22,2022-08-17,Basic,17.89,3,10,0.29,E-commerce,3,True
CUST100085,2023-04-30,2024-04-03,Basic,26.31,3,8,0.17,Finance,1,False
CUST100086,2021-05-15,2021-09-25,Pro,69.9,2,9,0.2,SaaS,11,True
CUST100087,2021-04-06,2024-04-18,Pro,74.79,3,2,0.18,Real Estate,13,False
CUST100088,2024-01-30,2024-04-22,Enterprise,169.77,1,12,0.33,Finance,20,False
CUST100089,2023-09-24,2024-04-16,Basic,18.46,1,12,0.24,SaaS,5,False
CUST100090,2022-11-28,2024-04-10,Basic,25.46,1,8,0.32,Education,4,False
CUST100091,2022-07-14,2024-04-04,Pro,63.58,1,11,0.49,SaaS,14,False
CUST100092,2023-08-28,2024-04-19,Pro,56.83,4,3,0.38,SaaS,6,False
CUST100093,2023-06-29,2024-04-25,Pro,58.04,1,8,0.4,Healthcare,11,False
CUST100094,2021-05-19,2024-04-19,Pro,59.55,3,17,0.27,Education,11,False
CUST100095,2022-10-25,2023-11-22,Basic,14.67,4,11,0.39,Healthcare,5,True
CUST100096,2023-08-26,2024-04-24,Pro,75.01,2,10,0.57,E-commerce,12,False
CUST100097,2022-02-12,2024-04-09,Basic,17.12,3,12,0.2,E-commerce,3,False
CUST100098,2022-02-13,2024-04-22,Basic,17.55,2,12,0.5,Real Estate,4,False
CUST100099,2023-07-22,2024-04-08,Basic,24.93,2,5,0.34,Healthcare,4,False
CUST100100,2023-08-13,2024-04-01,Basic,18.36,3,7,0.32,SaaS,3,False
CUST100101,2022-05-20,2024-04-09,Pro,54.35,0,12,0.29,Real Estate,7,False
CUST100102,2023-10-31,2024-04-10,Basic,17.17,3,14,0.24,Healthcare,4,False
CUST100103,2023-01-01,2024-04-28,Pro,75.07,2,8,0.24,Real Estate,16,False
CUST100104,2021-06-18,2024-04-11,Enterprise,1716.52,5,7,0.22,Finance,324,False
CUST100105,2021-09-04,2024-04-10,Basic,18.1,3,4,0.35,Real Estate,2,False
CUST100106,2023-11-04,2024-04-30,Basic,18.41,3,11,0.25,Education,1,True
CUST100107,2023-10-07,2024-04-13,Pro,63.91,0,14,0.44,E-commerce,13,False
CUST100108,2023-12-06,2024-04-30,Basic,22.31,1,6,0.36,SaaS,2,True
CUST100109,2023-06-07,2024-04-25,Basic,21.95,3,6,0.11,Education,5,False
CUST100110,2022-12-11,2024-04-16,Basic,24.56,1,14,0.49,SaaS,5,False
CUST100111,2021-04-27,2022-06-19,Basic,23.85,3,9,0.21,Finance,5,True
CUST100112,2022-08-16,2024-04-22,Enterprise,314.76,3,9,0.29,SaaS,80,False
CUST100113,2022-03-15,2024-04-01,Pro,63.29,1,11,0.38,SaaS,15,False
CUST100114,2021-11-07,2023-06-30,Pro,66.2,3,11,0.22,E-commerce,12,True
CUST100115,2023-10-20,2024-04-23,Enterprise,424.62,2,7,0.39,Healthcare,116,False
CUST100116,2023-06-21,2024-04-30,Pro,84.53,3,19,0.17,SaaS,15,True
CUST100117,2021-12-08,2024-04-04,Basic,19.07,1,11,0.39,Finance,3,False
CUST100118,2023-06-23,2024-04-06,Enterprise,1427.31,2,10,0.29,SaaS,293,False
CUST100119,2023-08-17,2024-04-06,Pro,59.63,1,7,0.21,E-commerce,9,False
CUST100120,2023-02-28,2024-04-29,Pro,63.75,2,6,0.11,Education,8,False
CUST100121,2022-09-17,2024-04-23,Enterprise,743.9,1,4,0.09,Healthcare,208,False
CUST100122,2022-12-31,2024-04-04,Basic,17.94,1,10,0.49,E-commerce,1,False
CUST100123,2022-08-08,2024-04-29,Basic,19.37,0,12,0.39,SaaS,3,False
